Financial Year,Investigations: Anti-scam,Investigations: Telemarketing,Investigations: Spam,Complaints: Telemarketing,Complaints: SMS,Complaints: Email,Complaints: IM,Scam Complaints: Scam call,Scam Complaints: Scam SMS,Alerts: Telemarketing,Alerts: Spam,Alerts: Mobile number fraud
2022-23,12,0,9,"21,190","2,043","4,662",66,"3,998",465,"1,061","3,112",
2023-24,10,0,4,"17,660","2,282","6,227",63,"2,772",334,"1,109","3,581",
2024-25,6,1,6,"16,537","2,160","4,217",49,"1,281",87,"1,183","2,721",
2025-26 (YTD),4,1,4,"7,006",924,"1,833",46,551,80,576,"1,443",33
